Código do Produto;Quantidade em Estoque;Preço Unitário de Compra;Alíquota do ICMS
19823;714;364.3068264103119;12
19505;387;431.9070682592589;12
34469;2630;20.28050818838285;7
25237;3164;181.10951502460279;18
46877;1806;344.47798605936435;12
14840;1038;394.46839240121903;12
16496;2749;218.53153012822864;12
42328;2753;101.5966361007934;18
16794;2771;419.64903852180026;12
26630;3513;271.50860981517496;12
31199;1615;200.92272152010094;12
26522;694;338.87788569713166;12
14522;1921;40.07622429346352;12
44961;995;218.68761832334326;12
45771;1769;9.458221443547048;18
12546;542;422.0736306970741;12
44049;3357;431.84072770320745;12
42585;2609;295.71411573488115;12
37460;1645;168.16463228807183;12
14472;1140;106.02681386890909;18
38443;3043;338.45156929015315;18
45394;1937;263.2541408448243;18
14272;2648;396.2529805889367;7
25248;1333;211.75652437641793;18
46346;2188;401.55267329631596;12
26943;1039;278.990859990908;18
13532;512;333.4560429801072;12
24678;238;235.57045553530227;12
42755;3004;170.56809941566345;18
47706;681;265.45776668399384;7
35982;299;247.77163336162172;12
24240;3754;362.1061017782458;7
26664;1736;20.621941707603334;12
21402;615;84.31004065255337;18
18119;2939;120.48502562700449;18
44855;907;110.5583672416239;7
32719;3631;74.7543292592663;18
23307;3619;431.42250279435467;18
30948;3437;401.6923778463863;7
11019;1633;241.105348882095;12
14844;2978;236.38783166540213;7
26692;2337;80.02306357264135;18
23597;1239;368.5885188025794;18
38362;3426;154.9298171177467;7
14037;552;409.1879450391041;18
42512;3115;3.137588000074637;7
30743;796;226.54866696650734;12
12720;3129;98.39517173159949;18
15707;3791;404.9518213449274;12
21632;1384;271.594441516853;7
25084;2138;218.6871483550783;18
10671;2429;94.50685545416032;12
35318;3003;373.6245035233296;18
38235;842;377.0567880656615;7
15514;2349;353.64147079168504;12
25413;821;73.40269381989337;18
35084;3790;272.78084690426437;7
16967;3056;416.4268976467368;18
22994;39;269.8174982743963;7
36307;2608;40.86347000389802;18
24356;2911;187.49930659219038;12
33677;2631;255.49084946911523;18
11870;3755;104.17632983300525;12
32117;2364;182.91311321869097;18
14853;3731;84.47905182196006;18
43389;707;277.89658033567906;18
46102;2046;367.6436689035633;18
47258;267;29.118961535974016;18
17450;3182;103.5429026244695;18
32219;8;190.06313497607746;12
38768;2489;105.73527570778118;12
49617;2721;394.53080656227814;12
14264;2081;270.57036708995315;12
37440;2569;331.4453040747231;7
28184;31;33.726524242493184;18
12601;2221;260.8982979887409;12
46867;2617;50.720555850715094;18
41577;2902;375.7187137478377;7
22493;3750;229.31249389351248;12
20810;898;113.39528130982256;7
35861;2305;61.632288222699906;18
25966;1904;175.54448758974868;7
38399;1873;37.57351985849863;18
31568;1292;143.42459638728835;7
19674;575;235.92088816565462;12
23030;608;323.5409856819325;18
23792;3576;293.23649807601777;7
47677;3554;297.837790176185;18
35717;2956;363.26768268565985;18
37559;2788;98.20517659550858;7
43765;1468;43.18467878771692;18
34227;2590;9.241382330829786;12
22024;2413;5.468412237199081;12
49713;947;308.29846804417406;12
28095;1613;154.98196675508228;12
19627;2511;254.70438687917087;18
36856;3402;199.3084808738166;18
23631;458;425.51079376504066;7
12763;683;48.6322927032388;7
13022;313;202.41286418481496;12
26571;3521;45.25403646443842;18
11371;2551;257.8241943500296;7
37684;1493;175.3476013892137;7
13938;1295;379.4069818117488;12
36999;3;201.90215470802508;18
15365;2933;162.92583306168703;12
18562;1530;296.1866785309731;12
11667;3310;240.17781536040192;18
37841;777;402.0179816036895;18
13404;461;150.0719977079698;18
29584;899;260.79231506722715;12
20804;1327;68.21819984702272;18
27956;211;295.7200240003825;18
20522;2549;93.71654091763786;18
47249;1727;77.01867735856796;7
48295;723;162.5106565843986;7
23923;2543;184.4104009489921;7
26117;164;184.9182452630981;7
30351;3187;250.5132082697614;7
49769;2149;167.5668029818923;12
18184;1362;79.01730607908816;7
49001;1408;28.87238742849237;7
23963;3228;14.747381017173446;7
48376;1206;32.63794568875694;7
22557;1953;243.79438598001437;18
33490;847;29.81664511460278;12
33300;1086;63.93963607406754;7
13816;3248;406.564619041386;18
41461;347;18.934284267348243;7
35256;1703;323.6544487546908;18
16532;2789;265.37442829295856;7
32380;1652;64.40491026359378;12
27435;2998;422.1268355490634;12
30886;1902;133.89756918848195;18
22145;2476;180.5619229390393;12
41975;2192;175.38756772757765;7
41198;2357;399.14202622304276;18
12245;3584;156.31282901980578;7
12160;2828;22.551053795355752;18
16958;2062;411.5286052959375;7
36859;1592;70.58944105091965;18
15710;1065;384.59192006201636;12
23126;843;9.396456155906463;7
42732;3693;264.90384374244906;18
40314;2667;350.84443519397894;12
47989;2601;262.14765827558006;18
29613;2931;221.21585388841837;7
23391;1721;287.2528240299729;12
14149;3627;337.8787469861586;12
20877;191;30.21176467833753;18
16890;1553;270.2940725458072;7
12052;3597;354.34224625800016;7
42637;1138;349.44051877421987;7
37267;83;40.9222381048616;18
13913;1571;392.39156570479815;7
43007;1308;147.33206563302966;12
11409;784;369.8804028319007;18
20988;1980;227.89164029148606;18
26839;2536;289.96978461964625;18
41799;1948;36.22820831358677;7
47328;3170;19.52705227498779;18
38626;2843;429.85067555985916;7
28505;998;157.43750093879967;18
34393;312;267.1938602400221;7
16321;1205;37.31328113610106;18
43861;247;290.97920069387277;7
41954;1951;107.4581500690471;18
10621;1242;396.05356059431557;18
33507;598;12.307769317053403;7
11678;1520;118.65137447796148;12
43848;2362;360.6697428933017;18
10325;907;346.59367469387644;7
23250;2515;215.45063131987865;12
17474;3446;304.44746907364737;7
13375;2447;201.6435200961394;12
25268;2737;45.972927627481525;12
25265;519;59.841993967252925;18
25173;504;41.59763948035376;18
14703;1955;284.4113583201909;12
47123;2549;33.449328186952314;18
49977;2805;279.9972389013506;7
13451;3217;239.8922960515793;12
26062;2104;63.68803005760114;18
35622;1421;85.32410134997333;18
28120;937;114.49289036468264;12
15877;552;405.16430519771285;18
35440;3190;282.8679490808304;18
45948;1715;57.15052972768008;18
49786;2817;431.06214486029194;18
23613;1526;10.99079498061793;12
22438;2966;362.59288580703736;18
40576;2299;276.4679548306845;18
18741;652;129.20939658241443;18
29747;689;380.59732250769235;18
25755;1313;281.28426080667185;18
24624;380;290.9813748843866;7
39467;100;293.544159586827;12
11557;1563;378.42491786553893;18
16036;69;423.5490421749844;12
15160;1694;157.96282105394934;18
38735;1614;249.7923292690841;7
35130;3541;73.0279040075162;18
39262;342;379.0799245082256;18
26075;3351;426.5408385918773;7
46893;3174;201.29528344712546;7
26698;4;28.65541828255399;12
47814;1388;108.53442663259644;7
33531;2960;417.02021168396175;12
39786;1269;220.9956680197822;18
18444;1244;330.2551042048745;18
10850;1203;410.00833177579005;12
37635;787;343.163378871008;7
32059;3749;182.3275409822058;18
23357;1463;387.4512050896309;7
49216;351;38.188146375911174;12
18538;1447;4.2554899372970585;12
33917;2322;74.0985251528514;7
43186;2485;123.03441747634824;7
16424;1255;268.6780356354435;18
31427;1890;388.819486721414;12
14375;1379;13.608557340987394;12
17824;3193;376.4052220771824;12
26098;564;7.104479354591191;12
32674;1793;182.14724892483943;7
29851;3728;311.21865262194086;18
37675;2357;329.90668160174357;7
48587;2668;378.8372350716631;12
33314;3365;332.87696523410165;18
47667;341;431.5999657953142;7
31564;2478;84.72877595834748;12
29721;2420;422.3449725022368;7
40772;870;44.38852410618311;7
28281;3494;25.67212486207812;18
22026;2499;419.3428922096767;12
23339;1789;228.62246960562103;12
29882;316;105.87328453631049;7
35387;2879;142.49607139893192;18
20246;44;93.95049740728057;18
10423;2472;199.70091835531306;12
45054;2859;94.50254997306489;18
24307;341;72.76770975900592;12
47652;1829;31.766888809483515;18
12989;2622;421.1730527203521;12
43262;2647;327.29500933915904;7
27130;1996;44.38260529730743;18
41496;280;208.779978841035;7
19868;2926;358.5937914944323;12
19569;2625;5.506222190966928;7
29260;517;176.5095410634197;12
19814;2525;302.11284767056526;7
40906;2942;240.29240721484095;18
33166;2175;304.91604395389953;7
42031;2828;135.79817101866132;7
44189;3585;99.94210419738452;12
43278;1556;308.70026770256436;12
38039;3684;389.0645660427771;18
11950;1452;145.7686263862121;18
27249;286;359.2906936307485;18
41794;199;239.9994326403742;18
29772;2733;262.47145647724386;18
37778;161;323.8847865304586;12
28674;952;117.32908121690245;12
37134;3498;132.14424688923378;18
46058;1975;140.84486824520224;18
25457;1330;396.8891061379848;18
31277;229;248.43213006572088;18
27122;264;142.8118888992108;7
48417;1094;193.13343854513525;18
23176;3432;195.93211375704507;12
34089;2953;183.23203588625572;12
40035;442;244.93803044907852;7
26688;791;365.12013190933493;7
46778;2225;253.0113947225562;12
38274;3467;37.96660097325923;18
21521;181;227.27020984040792;7
20087;3379;297.63351683043805;18
19784;2528;324.75398183328537;12
11817;265;153.55179590320125;12
16028;1407;288.9280828267909;18
34275;1534;28.98217421737325;12
36321;3792;75.53963067152871;18
32815;309;146.2842923537024;7
46147;3390;70.45712021712002;12
33885;3403;187.18847497879446;7
35437;265;363.13174410920885;18
37890;2375;241.4142554133092;12
44378;3353;63.79945178717385;7
34536;1991;186.09772913605602;18
24411;3762;387.26833322642864;18
32665;184;322.7733927310513;18
31999;579;298.0497631132107;12
21535;432;20.374494672416304;7
24128;3333;229.64248980238045;12
22547;735;364.9657601611622;12
14336;976;286.87324841374743;7
31083;1274;235.0747792165698;7
45042;3088;149.22920495978988;7
34727;2704;369.97879641006836;18
11579;2406;245.3550882830383;12
33222;2655;269.18486399775526;18
20899;2670;362.1329278636077;12
39672;2702;53.67933130774097;7
42355;2940;328.3386045608115;12
25499;2996;206.14433619642375;18
14193;3211;378.5534619628723;18
44212;1632;56.413885887378484;18
15516;1322;69.08119593735049;7
12614;97;223.157462729908;7
